image_path,captions
Dedan_Img_dataset/IMG_6174.jpg,Anterior side of School of engineering
Dedan_Img_dataset/IMG_6170.jpg,Resouce Center from afar
Dedan_Img_dataset/IMG_6206.jpg,Resouce Center rear parking bay
Dedan_Img_dataset/IMG_6212.jpg,Entrance to lecturer's mess
Dedan_Img_dataset/IMG_6213.jpg,Entrance to lecturer's mess
Dedan_Img_dataset/IMG_6207.jpg,Rear side of the Resource Center
Dedan_Img_dataset/IMG_6165.jpg,Resouce Center from afar
Dedan_Img_dataset/IMG_6171.jpg,Admat
Dedan_Img_dataset/IMG_6198.jpg,Admat
Dedan_Img_dataset/IMG_6173.jpg,Front side of the School of Engineering
Dedan_Img_dataset/IMG_6211.jpg,Entrance to lecturer's mess
Dedan_Img_dataset/IMG_6205.jpg,Backside of resouce center administration block
Dedan_Img_dataset/IMG_6204.jpg,School of engineering from far
Dedan_Img_dataset/IMG_6210.jpg,junction..left leads to rear resource center parking right leads to school of engineering and admat
Dedan_Img_dataset/IMG_6238.jpg,junction pathway leads to resource center while the road leads to resouce center administration block
Dedan_Img_dataset/IMG_6172.jpg,School of engineering
Dedan_Img_dataset/IMG_6166.jpg,Resouce Center from afar
Dedan_Img_dataset/IMG_6199.jpg,Admat
Dedan_Img_dataset/IMG_6180.jpg,Right side of School of Engineering
Dedan_Img_dataset/IMG_6194.jpg,Inside School of engineering
Dedan_Img_dataset/IMG_6235.jpg,junction left road leads to School of engineering while the right leads to Resource center administration block
Dedan_Img_dataset/IMG_6221.jpg,Resource center and it's front parking bay
Dedan_Img_dataset/IMG_6209.jpg,resource center
Dedan_Img_dataset/IMG_6208.jpg,Backside of Resouce center
Dedan_Img_dataset/IMG_6220.jpg,junction straight forward leads to the rear parking of the resource center left leads to the front parking and entrance of the resouce center right leads to school of business and Gate A
Dedan_Img_dataset/IMG_6234.jpg,Stefani nyaatha shrine in heroes garden
Dedan_Img_dataset/IMG_6195.jpg,Admat
Dedan_Img_dataset/IMG_6181.jpg,Right side of School of engineering and has no entrance
Dedan_Img_dataset/IMG_6197.jpg,Entrance to Admat lab
Dedan_Img_dataset/IMG_6183.jpg,Rear side of School of engineering
Dedan_Img_dataset/IMG_6222.jpg,Front side parking bay of the Resource center
Dedan_Img_dataset/IMG_6236.jpg,junction left road leads to School of engineering while the right leads to Resource center administration block
Dedan_Img_dataset/IMG_6237.jpg,junction pathway leads gate C while the road leads to School of engineering
Dedan_Img_dataset/IMG_6223.jpg,Dedan Kimathi commemmorative artwork for 10 years anniverasy of when the university was awarded a charter
Dedan_Img_dataset/IMG_6169.jpg,Resource center administrative block from a distance
Dedan_Img_dataset/IMG_6182.jpg,Rear side of School of engineering
Dedan_Img_dataset/IMG_6196.jpg,Admat
Dedan_Img_dataset/IMG_6192.jpg,Inside School of engineering
Dedan_Img_dataset/IMG_6186.jpg,Left side of School of Engineering
Dedan_Img_dataset/IMG_6179.jpg,Right side of School of engineering
Dedan_Img_dataset/IMG_6227.jpg,Heroes' garden
Dedan_Img_dataset/IMG_6233.jpg,Stefani nyaatha shrine in heroes garden
Dedan_Img_dataset/IMG_6232.jpg,Stefani nyaatha shrine in heroes garden
Dedan_Img_dataset/IMG_6226.jpg,Stefani nyaatha shrine in heroes garden
Dedan_Img_dataset/IMG_6178.jpg,Dedan Kimathi Energy studies
Dedan_Img_dataset/IMG_6187.jpg,Left side of School of engineering
Dedan_Img_dataset/IMG_6193.jpg,Inside School of engineering
Dedan_Img_dataset/IMG_6185.jpg,Left side of School of engineering with parking
Dedan_Img_dataset/IMG_6191.jpg,Inside School of engineering
Dedan_Img_dataset/IMG_6218.jpg,resource center
Dedan_Img_dataset/IMG_6230.jpg,Stefani nyaatha shrine in heroes garden
Dedan_Img_dataset/IMG_6224.jpg,Heroes' garden
Dedan_Img_dataset/IMG_6225.jpg,Heroes' garden
Dedan_Img_dataset/IMG_6231.jpg,Heroes' garden
Dedan_Img_dataset/IMG_6219.jpg,junction straight forward leads to the rear parking of the resource center left leads to the front parking and entrance of the resouce center right leads to school of business and Gate A
Dedan_Img_dataset/IMG_6190.jpg,Entrance to itohm caf� .Left side of School engineering
Dedan_Img_dataset/IMG_6184.jpg,Rear side of School of engineering
Dedan_Img_dataset/IMG_6295.jpg,Medical center
Dedan_Img_dataset/IMG_6281.jpg,Front side of Freedom hall
Dedan_Img_dataset/IMG_6256.jpg,Gate A entrance
Dedan_Img_dataset/IMG_6242.jpg,path to football field
Dedan_Img_dataset/IMG_6243.jpg,Gate A from the inside
Dedan_Img_dataset/IMG_6257.jpg,Student mess
Dedan_Img_dataset/IMG_6280.jpg,Front side of Freedom hall
Dedan_Img_dataset/IMG_6294.jpg,Entrance to the medical center
Dedan_Img_dataset/IMG_6282.jpg,Freedom hall
Dedan_Img_dataset/IMG_6296.jpg,Medical center
Dedan_Img_dataset/IMG_6241.jpg,Pathway to heroes' garden
Dedan_Img_dataset/IMG_6255.jpg,Gate A Exit
Dedan_Img_dataset/IMG_6269.jpg,Rearside entrance to Freedom Hall
Dedan_Img_dataset/IMG_6268.jpg,Rearside entrance to Freedom Hall
Dedan_Img_dataset/IMG_6254.jpg,Gate A entrance
Dedan_Img_dataset/IMG_6297.jpg,Medical center
Dedan_Img_dataset/IMG_6283.jpg,Right side of Freedom hall
Dedan_Img_dataset/IMG_6287.jpg,Entrance to student welfare
Dedan_Img_dataset/IMG_6293.jpg,Entrance to the medical center
Dedan_Img_dataset/IMG_6278.jpg,Front side of Freedom hall
Dedan_Img_dataset/IMG_6244.jpg,Gate A from the inside
Dedan_Img_dataset/IMG_6250.jpg,Dedan Kimathi Monument sign
Dedan_Img_dataset/IMG_6251.jpg,Dedan Kimathi Monument sign and Gate A
Dedan_Img_dataset/IMG_6245.jpg,Gate A from the inside
Dedan_Img_dataset/IMG_6279.jpg,Front side of Freedom hall
Dedan_Img_dataset/IMG_6292.jpg,Road leading to Medical center and Staff quarters
Dedan_Img_dataset/IMG_6286.jpg,Student welfare buildingÉunder the student mess
Dedan_Img_dataset/IMG_6290.jpg,junction left leads to medical center and staff quarters and right leads to Gate B
Dedan_Img_dataset/IMG_6284.jpg,Front entrance to Freedom hall
Dedan_Img_dataset/IMG_6253.jpg,Gate A
Dedan_Img_dataset/IMG_6247.jpg,Junction at the Gate A left leading to school of business and forward to school of engineering
Dedan_Img_dataset/IMG_6246.jpg,junction at Gate A straight leads to Resource Center
Dedan_Img_dataset/IMG_6252.jpg,Gate A
Dedan_Img_dataset/IMG_6285.jpg,Outside the mess
Dedan_Img_dataset/IMG_6291.jpg,Road that leads to gate B
Dedan_Img_dataset/IMG_6195_0_6457.jpg,Admat
Dedan_Img_dataset/IMG_6222_0_6977.jpg,Front side parking bay of the Resource center
Dedan_Img_dataset/IMG_6269_0_6243.jpg,Rearside entrance to Freedom Hall
Dedan_Img_dataset/IMG_6187_0_2365.jpg,Left side of School of engineering
Dedan_Img_dataset/IMG_6182_0_4659.jpg,Rear side of School of engineering
Dedan_Img_dataset/IMG_6194_0_2098.jpg,Inside School of engineering
Dedan_Img_dataset/IMG_6287_0_6692.jpg,Entrance to student welfare
Dedan_Img_dataset/IMG_6299_0_9273.jpg,Medical center
Dedan_Img_dataset/IMG_6270_0_812.jpg,Rearside entrance to Freedom Hall
Dedan_Img_dataset/IMG_6266_0_8623.jpg,The rear side of school of business
Dedan_Img_dataset/IMG_6246_0_166.jpg,junction at Gate A straight leads to Resource Center
Dedan_Img_dataset/IMG_6272_0_5937.jpg,The anterior side of Freedom hall
Dedan_Img_dataset/IMG_6213_0_5722.jpg,Entrance to lecturer's mess
Dedan_Img_dataset/IMG_6176_0_641.jpg,Dedan Kimathi Energy studies
Dedan_Img_dataset/IMG_6283_0_4173.jpg,Right side of Freedom hall
Dedan_Img_dataset/IMG_6187_0_3319.jpg,Left side of School of engineering
Dedan_Img_dataset/IMG_6183_0_2907.jpg,Rear side of School of engineering
Dedan_Img_dataset/IMG_6210_0_7852.jpg,junction..left leads to rear resource center parking right leads to school of engineering and admat
Dedan_Img_dataset/IMG_6276_0_3877.jpg,left side of freedom hall
Dedan_Img_dataset/IMG_6184_0_5941.jpg,Rear side of School of engineering
Dedan_Img_dataset/IMG_6241_0_1907.jpg,Pathway to heroes' garden
Dedan_Img_dataset/IMG_6294_0_8351.jpg,Entrance to the medical center
Dedan_Img_dataset/IMG_6268_0_8773.jpg,Rearside entrance to Freedom Hall
Dedan_Img_dataset/IMG_6211_0_5379.jpg,Entrance to lecturer's mess
Dedan_Img_dataset/IMG_6202_0_2502.jpg,Generator room
Dedan_Img_dataset/IMG_6231_0_3463.jpg,Heroes' garden
Dedan_Img_dataset/IMG_6196_0_5019.jpg,Admat
Dedan_Img_dataset/IMG_6275_0_161.jpg,Left side of freedom hall with 2 entrances
Dedan_Img_dataset/IMG_6219_0_8698.jpg,junction straight forward leads to the rear parking of the resource center left leads to the front parking and entrance of the resouce center right leads to school of business and Gate A
Dedan_Img_dataset/IMG_6228_0_3665.jpg,Heroes garden seat
Dedan_Img_dataset/IMG_6189_0_4877.jpg,School of engineering satima block
Dedan_Img_dataset/IMG_6199_0_2878.jpg,Admat
Dedan_Img_dataset/IMG_6186_0_6740.jpg,Left side of School of Engineering
Dedan_Img_dataset/IMG_6211_0_6260.jpg,Entrance to lecturer's mess
Dedan_Img_dataset/IMG_6280_0_1399.jpg,Front side of Freedom hall
Dedan_Img_dataset/IMG_6237_0_8298.jpg,junction pathway leads gate C while the road leads to School of engineering
Dedan_Img_dataset/IMG_6185_0_6558.jpg,Left side of School of engineering with parking
Dedan_Img_dataset/IMG_6282_0_2209.jpg,Freedom hall
Dedan_Img_dataset/IMG_6254_0_4009.jpg,Gate A entrance
Dedan_Img_dataset/IMG_6230_0_8214.jpg,Stefani nyaatha shrine in heroes garden
Dedan_Img_dataset/IMG_6293_0_80.jpg,Entrance to the medical center
Dedan_Img_dataset/IMG_6174_0_3405.jpg,Anterior side of School of engineering
Dedan_Img_dataset/IMG_6286_0_8001.jpg,Student welfare buildingÉunder the student mess
Dedan_Img_dataset/IMG_6184_0_2156.jpg,Rear side of School of engineering
Dedan_Img_dataset/IMG_6234_0_4486.jpg,Stefani nyaatha shrine in heroes garden
Dedan_Img_dataset/IMG_6177_0_6983.jpg,Dedan Kimathi Energy studies
Dedan_Img_dataset/IMG_6204_0_4191.jpg,School of engineering from far
Dedan_Img_dataset/IMG_6229_0_7653.jpg,Stefani nyaatha Shrine in Heroes garden
Dedan_Img_dataset/IMG_6251_0_8740.jpg,Dedan Kimathi Monument sign and Gate A
Dedan_Img_dataset/IMG_6284_0_9786.jpg,Front entrance to Freedom hall
Dedan_Img_dataset/IMG_6214_0_3082.jpg,Entrance to lecturer's mess
Dedan_Img_dataset/IMG_6293 2_0_6486.jpg,Entrance to the medical center
Dedan_Img_dataset/IMG_6232_0_4670.jpg,Stefani nyaatha shrine in heroes garden
Dedan_Img_dataset/IMG_6227_0_6971.jpg,Heroes' garden
Dedan_Img_dataset/IMG_6251_0_5489.jpg,Dedan Kimathi Monument sign and Gate A
Dedan_Img_dataset/IMG_6263_0_4369.jpg,front side of the School of business
Dedan_Img_dataset/IMG_6269_0_8127.jpg,Rearside entrance to Freedom Hall
Dedan_Img_dataset/IMG_6292_0_5278.jpg,Road leading to Medical center and Staff quarters
Dedan_Img_dataset/IMG_6194_0_4011.jpg,Inside School of engineering
Dedan_Img_dataset/IMG_6219_0_1443.jpg,junction straight forward leads to the rear parking of the resource center left leads to the front parking and entrance of the resouce center right leads to school of business and Gate A
Dedan_Img_dataset/IMG_6300_0_9632.jpg,Medical center ground
Dedan_Img_dataset/IMG_6293_0_5407.jpg,Entrance to the medical center
Dedan_Img_dataset/IMG_6214_0_650.jpg,Entrance to lecturer's mess
Dedan_Img_dataset/IMG_6203_0_2800.jpg,Resouce Center
Dedan_Img_dataset/IMG_6222_0_1820.jpg,Front side parking bay of the Resource center
Dedan_Img_dataset/IMG_6280_0_1013.jpg,Front side of Freedom hall
Dedan_Img_dataset/IMG_6182_0_9586.jpg,Rear side of School of engineering
Dedan_Img_dataset/IMG_6185_0_5683.jpg,Left side of School of engineering with parking
Dedan_Img_dataset/IMG_6250_0_641.jpg,Dedan Kimathi Monument sign
Dedan_Img_dataset/IMG_6234_0_4732.jpg,Stefani nyaatha shrine in heroes garden
Dedan_Img_dataset/IMG_6179_0_7307.jpg,Right side of School of engineering
Dedan_Img_dataset/IMG_6242_0_2581.jpg,path to football field
Dedan_Img_dataset/IMG_6289_0_9960.jpg,Student mess and student welfare building
Dedan_Img_dataset/IMG_6184_0_4095.jpg,Rear side of School of engineering
Dedan_Img_dataset/IMG_6173_0_670.jpg,Front side of the School of Engineering
Dedan_Img_dataset/IMG_6195_0_8646.jpg,Admat
Dedan_Img_dataset/IMG_6263_0_6386.jpg,front side of the School of business
Dedan_Img_dataset/IMG_6246_0_3755.jpg,junction at Gate A going straight leads to Resource Center
Dedan_Img_dataset/IMG_6293_0_7370.jpg,Entrance to the medical center
Dedan_Img_dataset/IMG_6201_0_1416.jpg,Entrance to Admat lab
Dedan_Img_dataset/IMG_6292_0_7724.jpg,Road leading to Medical center and Staff quarters
Dedan_Img_dataset/IMG_6187_0_8689.jpg,Left side of School of engineering
Dedan_Img_dataset/IMG_6277_0_3400.jpg,left side of freedom hall
Dedan_Img_dataset/IMG_6289_0_1069.jpg,Student mess and student welfare building
Dedan_Img_dataset/IMG_6245_0_1160.jpg,Gate A from the inside
Dedan_Img_dataset/IMG_6212_0_7822.jpg,Entrance to lecturer's mess
Dedan_Img_dataset/IMG_6284_0_8660.jpg,Front entrance to Freedom hall
Dedan_Img_dataset/IMG_6181_0_9413.jpg,Right side of School of engineering and has no entrance
Dedan_Img_dataset/IMG_6300_0_4924.jpg,Medical center ground
Dedan_Img_dataset/IMG_6299_0_1826.jpg,Medical center
Dedan_Img_dataset/IMG_6209_0_2109.jpg,resource center
Dedan_Img_dataset/IMG_6277_0_4182.jpg,left side of freedom hall
Dedan_Img_dataset/IMG_6235_0_4410.jpg,junction left road leads to School of engineering while the right leads to Resource center administration block
Dedan_Img_dataset/IMG_6257_0_4160.jpg,Student mess
Dedan_Img_dataset/IMG_6273_0_1865.jpg,The Rearside of Freedom Hall
Dedan_Img_dataset/IMG_6245_0_4385.jpg,Gate A from the inside
Dedan_Img_dataset/IMG_6261_0_8454.jpg,School of business tower
Dedan_Img_dataset/IMG_6182_0_7008.jpg,Rear side of School of engineering
Dedan_Img_dataset/IMG_6293 2_0_9363.jpg,Entrance to the medical center
Dedan_Img_dataset/IMG_6207_0_793.jpg,Rear side of the Resource Center
Dedan_Img_dataset/IMG_6188_0_611.jpg,Left side of School of engineering
Dedan_Img_dataset/IMG_6190_0_7560.jpg,Entrance to itohm caf� .Left side of School engineering
Dedan_Img_dataset/IMG_6241_0_9390.jpg,Pathway to heroes' garden
Dedan_Img_dataset/IMG_6171_0_7310.jpg,Admat
Dedan_Img_dataset/IMG_6218_0_4802.jpg,resource center
Dedan_Img_dataset/IMG_6298_0_4072.jpg,Medical center
Dedan_Img_dataset/IMG_6217_0_6735.jpg,Resouce Center side entrance
Dedan_Img_dataset/IMG_6291_0_6035.jpg,Road that leads to gate B
Dedan_Img_dataset/IMG_6268_0_2714.jpg,Rearside entrance to Freedom Hall
Dedan_Img_dataset/IMG_6276_0_6288.jpg,left side of freedom hall
Dedan_Img_dataset/IMG_6227_0_8031.jpg,Heroes' garden
Dedan_Img_dataset/IMG_6191_0_4831.jpg,Inside School of engineering
Dedan_Img_dataset/IMG_6294_0_4960.jpg,Entrance to the medical center
Dedan_Img_dataset/IMG_6212_0_1895.jpg,Entrance to lecturer's mess
Dedan_Img_dataset/IMG_6196_0_9779.jpg,Admat
Dedan_Img_dataset/IMG_6262_0_2214.jpg,School of business tower
Dedan_Img_dataset/IMG_6286_0_5938.jpg,Student welfare buildingÉunder the student mess
Dedan_Img_dataset/IMG_6218_0_8382.jpg,resource center
Dedan_Img_dataset/IMG_6260_0_1192.jpg,School of business
Dedan_Img_dataset/IMG_6175_0_5195.jpg,Front side of the School of Engineering
Dedan_Img_dataset/IMG_6182_0_4892.jpg,Rear side of School of engineering
Dedan_Img_dataset/IMG_6276_0_9756.jpg,left side of freedom hall
Dedan_Img_dataset/IMG_6165_0_193.jpg,Resouce Center from afar
Dedan_Img_dataset/IMG_6186_0_4804.jpg,Left side of School of Engineering
Dedan_Img_dataset/IMG_6268_0_9537.jpg,Rearside entrance to Freedom Hall
Dedan_Img_dataset/IMG_6248_0_1957.jpg,Junction at the Gate A left leading to school of business and forward to school of engineering
Dedan_Img_dataset/IMG_6193_0_6249.jpg,Inside School of engineering
Dedan_Img_dataset/IMG_6211_0_3875.jpg,Entrance to lecturer's mess
Dedan_Img_dataset/IMG_6273_0_7193.jpg,The Rearside of Freedom Hall
Dedan_Img_dataset/IMG_6281_0_4316.jpg,Front side of Freedom hall
Dedan_Img_dataset/IMG_6259_0_7498.jpg,Student mess from afar
Dedan_Img_dataset/IMG_6275_0_207.jpg,Left side of freedom hall with 2 entrances
Dedan_Img_dataset/IMG_6178_0_2764.jpg,Dedan Kimathi Energy studies
Dedan_Img_dataset/IMG_6190_0_3467.jpg,Entrance to itohm caf� .Left side of School engineering
Dedan_Img_dataset/IMG_6268_0_8415.jpg,Rearside entrance to Freedom Hall
Dedan_Img_dataset/IMG_6291_0_8230.jpg,Road that leads to gate B
Dedan_Img_dataset/IMG_6290_0_6649.jpg,junction left leads to medical center and staff quarters and right leads to Gate B
Dedan_Img_dataset/IMG_6211_0_4249.jpg,Entrance to lecturer's mess
Dedan_Img_dataset/IMG_6250_0_3482.jpg,Dedan Kimathi Monument sign
Dedan_Img_dataset/IMG_6182_0_7584.jpg,Rear side of School of engineering
Dedan_Img_dataset/IMG_6199_0_3169.jpg,Admat
Dedan_Img_dataset/IMG_6252_0_6163.jpg,Gate A
Dedan_Img_dataset/IMG_6265_0_3768.jpg,Right side of School of business offices
Dedan_Img_dataset/IMG_6238_0_6825.jpg,junction pathway leads to resource center while the road leads to resouce center administration block
Dedan_Img_dataset/IMG_6270_0_590.jpg,Rearside entrance to Freedom Hall
Dedan_Img_dataset/IMG_6221_0_6438.jpg,Resource center and it's front parking bay
Dedan_Img_dataset/IMG_6180_0_743.jpg,Right side of School of Engineering
Dedan_Img_dataset/IMG_6280_0_268.jpg,Front side of Freedom hall
Dedan_Img_dataset/IMG_6226_0_6852.jpg,Stefani nyaatha shrine in heroes garden
Dedan_Img_dataset/IMG_6175_0_9357.jpg,Front side of the School of Engineering
Dedan_Img_dataset/IMG_6251_0_9049.jpg,Dedan Kimathi Monument sign and Gate A
Dedan_Img_dataset/IMG_6178_0_9793.jpg,Dedan Kimathi Energy studies
Dedan_Img_dataset/IMG_6220_0_2034.jpg,junction straight forward leads to the rear parking of the resource center left leads to the front parking and entrance of the resouce center right leads to school of business and Gate A
Dedan_Img_dataset/IMG_6242_0_442.jpg,path to football field
Dedan_Img_dataset/IMG_6198_0_2434.jpg,Admat
Dedan_Img_dataset/IMG_6281_0_4049.jpg,Front side of Freedom hall
Dedan_Img_dataset/IMG_6253_0_263.jpg,Gate A
Dedan_Img_dataset/IMG_6221_0_1747.jpg,Resource center and it's front parking bay
Dedan_Img_dataset/IMG_6191_0_1625.jpg,Inside School of engineering
Dedan_Img_dataset/IMG_6254_0_6431.jpg,Gate A entrance
Dedan_Img_dataset/IMG_6166_0_8571.jpg,Resouce Center from afar
Dedan_Img_dataset/IMG_6258_0_1669.jpg,Student mess
Dedan_Img_dataset/IMG_6285_0_7461.jpg,Outside the mess
Dedan_Img_dataset/IMG_6219_0_4110.jpg,junction straight forward leads to the rear parking of the resource center left leads to the front parking and entrance of the resouce center right leads to school of business and Gate A
Dedan_Img_dataset/IMG_6277_0_8745.jpg,left side of freedom hall
Dedan_Img_dataset/IMG_6225_0_8722.jpg,Heroes' garden
Dedan_Img_dataset/IMG_6197_0_4352.jpg,Entrance to Admat lab
Dedan_Img_dataset/IMG_6166_0_2538.jpg,Resouce Center from afar
Dedan_Img_dataset/IMG_6298_0_624.jpg,Medical center
Dedan_Img_dataset/IMG_6173_0_8042.jpg,Front side of the School of Engineering
Dedan_Img_dataset/IMG_6286_0_8984.jpg,Student welfare buildingÉunder the student mess
Dedan_Img_dataset/IMG_6181_0_4860.jpg,Right side of School of engineering and has no entrance
Dedan_Img_dataset/IMG_6244_0_9195.jpg,Gate A from the inside
Dedan_Img_dataset/IMG_6193_0_1595.jpg,Inside School of engineering
Dedan_Img_dataset/IMG_6299_0_7003.jpg,Medical center
Dedan_Img_dataset/IMG_6222_0_9158.jpg,Front side parking bay of the Resource center
Dedan_Img_dataset/IMG_6226_0_9131.jpg,Stefani nyaatha shrine in heroes garden
Dedan_Img_dataset/IMG_6261_0_1373.jpg,School of business tower
Dedan_Img_dataset/IMG_6223_0_6993.jpg,Dedan Kimathi commemmorative artwork for 10 years anniversary of when the university was awarded a charter
Dedan_Img_dataset/IMG_6230_0_788.jpg,Stefani nyaatha shrine in heroes garden
Dedan_Img_dataset/IMG_6264_0_5500.jpg,Right side of School of business offices
Dedan_Img_dataset/IMG_6293 2_0_553.jpg,Entrance to the medical center
Dedan_Img_dataset/IMG_6199_0_1724.jpg,Admat
Dedan_Img_dataset/IMG_6285_0_7957.jpg,Outside the mess
Dedan_Img_dataset/IMG_6259_0_8691.jpg,Student mess from afar
Dedan_Img_dataset/IMG_6271_0_1527.jpg,Rearside entrance to Freedom Hall
Dedan_Img_dataset/IMG_6267_0_676.jpg,The rear side of school of business
Dedan_Img_dataset/IMG_6279_0_1736.jpg,Front side of Freedom hall
Dedan_Img_dataset/IMG_6170_0_4200.jpg,Resouce Center from afar
Dedan_Img_dataset/IMG_6246_0_7157.jpg,junction at Gate A going straight leads to Resource Center
Dedan_Img_dataset/IMG_6212_0_3956.jpg,Entrance to lecturer's mess
Dedan_Img_dataset/IMG_6179_0_8915.jpg,Right side of School of engineering
Dedan_Img_dataset/IMG_6221_0_5427.jpg,Resource center and it's front parking bay
Dedan_Img_dataset/IMG_6273_0_4945.jpg,The Rearside of Freedom Hall
Dedan_Img_dataset/IMG_6255_0_9293.jpg,Gate A Exit
Dedan_Img_dataset/IMG_6278_0_4795.jpg,Front side of Freedom hall
Dedan_Img_dataset/IMG_6243_0_9786.jpg,Gate A from the inside
Dedan_Img_dataset/IMG_6293 2_0_9663.jpg,Entrance to the medical center
Dedan_Img_dataset/IMG_6198_0_4023.jpg,Admat
Dedan_Img_dataset/IMG_6265_0_4471.jpg,Right side of School of business offices
Dedan_Img_dataset/IMG_6294_0_9366.jpg,Entrance to the medical center
Dedan_Img_dataset/IMG_6207_0_6702.jpg,Rear side of the Resource Center
Dedan_Img_dataset/IMG_6256_0_6569.jpg,Gate A entrance
Dedan_Img_dataset/IMG_6171_0_4293.jpg,Admat
Dedan_Img_dataset/IMG_6281_0_2258.jpg,Front side of Freedom hall
Dedan_Img_dataset/IMG_6255_0_6942.jpg,Gate A Exit
Dedan_Img_dataset/IMG_6245_0_8652.jpg,Gate A from the inside
Dedan_Img_dataset/IMG_6225_0_4397.jpg,Heroes' garden
Dedan_Img_dataset/IMG_6287_0_7920.jpg,Entrance to student welfare
Dedan_Img_dataset/IMG_6207_0_9182.jpg,Rear side of the Resource Center
Dedan_Img_dataset/IMG_6231_0_7289.jpg,Heroes' garden
Dedan_Img_dataset/IMG_6208_0_8228.jpg,Backside of Resouce center
Dedan_Img_dataset/IMG_6226_0_5293.jpg,Stefani nyaatha shrine in heroes garden
Dedan_Img_dataset/IMG_6208_0_9644.jpg,Backside of Resouce center
Dedan_Img_dataset/IMG_6166_0_4850.jpg,Resouce Center from afar
Dedan_Img_dataset/IMG_6290_0_6599.jpg,junction left leads to medical center and staff quarters and right leads to Gate B
Dedan_Img_dataset/IMG_6202_0_7023.jpg,Generator room
Dedan_Img_dataset/IMG_6223_0_9527.jpg,Dedan Kimathi commemmorative artwork for 10 years anniversary of when the university was awarded a charter
Dedan_Img_dataset/IMG_6247_0_4418.jpg,Junction at the Gate A left leading to school of business and forward to school of engineering
Dedan_Img_dataset/IMG_6294_0_47.jpg,Entrance to the medical center
Dedan_Img_dataset/IMG_6262_0_8992.jpg,School of business tower
Dedan_Img_dataset/IMG_6231_0_9073.jpg,Heroes' garden
Dedan_Img_dataset/IMG_6228_0_1946.jpg,Heroes garden seat
Dedan_Img_dataset/IMG_6200_0_4574.jpg,Frontside of Admat lab
Dedan_Img_dataset/IMG_6230_0_6890.jpg,Stefani nyaatha shrine in heroes garden
Dedan_Img_dataset/IMG_6274_0_1864.jpg,anterior side of Freedom hall
Dedan_Img_dataset/IMG_6204_0_5367.jpg,School of engineering from far
Dedan_Img_dataset/IMG_6282_0_4786.jpg,Freedom hall
Dedan_Img_dataset/IMG_6192_0_2568.jpg,Inside School of engineering
Dedan_Img_dataset/IMG_6275_0_7100.jpg,Left side of freedom hall with 2 entrances
Dedan_Img_dataset/IMG_6291_0_4862.jpg,Road that leads to gate B
